loan_amnt,term,int_rate,installment,grade,annual_inc,loan_status,dti
22000.0,36,11.22,722.55,1,100000.0,1,22.54
9150.0,36,17.97,330.66,3,50000.0,0,1.44
25000.0,36,6.24,763.28,0,147000.0,1,24.0
10000.0,36,9.8,321.74,1,75000.0,1,14.16
28000.0,36,5.32,843.22,0,144000.0,1,29.88
12000.0,60,11.48,263.8,1,76000.0,1,4.38
18000.0,36,9.8,579.13,1,85000.0,1,21.49
4425.0,36,15.41,154.29,3,40000.0,1,14.76
4325.0,36,16.55,153.24,3,42199.0,1,37.4
6000.0,36,6.99,185.24,0,42000.0,1,10.14
35000.0,36,9.76,1125.42,1,109000.0,1,24.23
9100.0,36,7.49,283.03,0,68000.0,1,19.31
8000.0,36,8.49,252.51,1,95000.0,1,16.41
12000.0,36,7.49,373.22,0,58245.0,0,27.36
10650.0,36,14.48,366.48,2,145000.0,1,2.71
12000.0,36,7.89,375.43,0,65000.0,1,20.61
9000.0,36,5.32,271.04,0,78000.0,1,30.26
9500.0,36,12.88,319.55,2,52000.0,1,22.71
18000.0,60,10.64,388.14,1,85000.0,1,19.96
35000.0,60,17.97,888.2,3,75000.0,0,35.02
35000.0,36,7.91,1095.33,0,78000.0,1,11.31
22100.0,60,16.55,543.91,3,76832.0,0,33.6
5275.0,36,11.22,173.25,1,61620.0,1,21.15
35000.0,36,9.17,1115.77,1,71265.0,1,21.67
15600.0,36,10.78,509.11,1,120000.0,0,7.4
10400.0,36,13.44,352.63,2,150000.0,0,18.51
15000.0,36,12.59,502.46,2,55000.0,1,16.39
8350.0,36,16.99,297.66,3,51000.0,0,34.4
6000.0,36,16.59,212.7,3,48000.0,0,7.23
14400.0,60,12.88,326.77,2,107325.0,1,33.17
24000.0,36,9.17,765.1,1,110000.0,0,17.27
20000.0,36,7.49,622.04,0,106000.0,1,27.2
15000.0,36,5.32,451.73,0,81000.0,1,16.95
21000.0,60,12.88,476.53,2,86500.0,1,23.36
7450.0,36,9.17,237.5,1,53490.0,1,24.61
9000.0,36,11.48,296.7,1,128000.0,0,17.72
10000.0,60,14.85,237.12,2,78000.0,0,27.0
4500.0,36,9.17,143.46,1,30000.0,1,17.6
7500.0,36,11.99,249.08,2,111000.0,0,14.09
16000.0,36,9.8,514.78,1,60000.0,1,15.3
8000.0,36,11.48,263.74,1,152000.0,1,7.17
4800.0,36,16.99,171.11,3,30000.0,1,31.44
24000.0,36,9.17,765.1,1,90000.0,1,12.16
4000.0,36,11.48,131.87,1,30000.0,1,9.44
10000.0,36,11.99,332.1,2,25000.0,1,17.41
33000.0,36,16.59,1169.82,3,165000.0,0,14.69
20000.0,36,11.99,664.2,2,110000.0,1,15.15
8000.0,36,8.49,252.51,1,105000.0,1,19.71
4800.0,36,15.77,168.21,3,47000.0,0,2.3
12000.0,36,7.91,375.54,0,55000.0,1,26.19
14400.0,60,11.99,320.25,2,80000.0,1,9.17
4250.0,36,18.2,154.08,4,60000.0,1,20.7
25000.0,36,7.26,774.91,0,150000.0,1,10.23
35000.0,36,9.17,1115.77,1,148000.0,1,19.03
30000.0,36,13.44,1017.19,2,106000.0,1,14.19
30000.0,36,15.77,1051.31,3,80000.0,1,16.97
34300.0,36,16.55,1215.23,3,78000.0,1,28.29
9000.0,36,5.32,271.04,0,25000.0,1,15.6
27000.0,60,14.85,640.21,2,150000.0,1,22.68
16800.0,36,10.78,548.27,1,54000.0,1,19.33
10000.0,36,8.49,315.63,1,70000.0,0,1.65
10000.0,36,9.17,318.79,1,65000.0,0,19.33
5000.0,36,10.78,163.18,1,65000.0,1,11.1
12000.0,60,12.59,270.53,2,74000.0,1,22.54
6000.0,36,5.32,180.69,0,75000.0,1,17.08
3500.0,36,11.48,115.39,1,17000.0,1,6.0
9000.0,36,6.99,277.86,0,85000.0,1,18.57
9000.0,36,7.49,279.92,0,100000.0,1,10.39
14050.0,36,10.78,458.52,1,44000.0,1,13.34
20800.0,60,11.99,462.58,2,141000.0,0,18.23
20000.0,36,5.32,602.3,0,162463.0,1,15.56
2000.0,36,13.44,67.82,2,42536.0,1,29.35
5000.0,36,10.78,163.18,1,14400.0,0,12.25
1700.0,36,9.17,54.2,1,35000.0,1,18.18
30000.0,36,7.89,938.57,0,110000.0,1,21.58
18000.0,36,7.89,563.15,0,80000.0,1,19.72
25000.0,36,7.49,777.55,0,99413.0,1,19.17
28000.0,36,9.8,900.86,1,140000.0,1,23.75
10000.0,36,9.17,318.79,1,35000.0,1,23.01
35000.0,60,19.48,917.19,4,123000.0,1,21.53
35000.0,36,14.48,1204.4,2,100000.0,1,33.9
6025.0,36,16.99,214.78,3,50000.0,1,13.83
10000.0,36,11.48,329.67,1,53000.0,0,24.8
16500.0,36,8.49,520.79,1,55000.0,1,15.54
20000.0,36,11.48,659.33,1,55000.0,1,19.88
15900.0,36,6.49,487.25,0,46217.0,1,16.49
35000.0,60,20.5,937.06,4,120000.0,1,35.69
2500.0,36,13.18,84.46,2,60000.0,1,13.82
25000.0,60,17.97,634.43,3,75000.0,0,34.56
20000.0,36,13.99,683.46,2,65000.0,1,30.61
5000.0,36,14.85,172.96,2,100000.0,1,16.86
27275.0,60,21.48,745.27,4,62000.0,0,14.75
8000.0,36,7.91,250.36,0,60000.0,1,13.09
6000.0,36,6.49,183.87,0,65000.0,1,26.4
5000.0,36,10.78,163.18,1,75000.0,1,16.7
10000.0,36,10.78,326.35,1,70000.0,0,20.28
18450.0,36,11.48,608.24,1,41000.0,0,27.66
2000.0,36,8.49,63.13,1,52000.0,1,19.76
15300.0,36,20.99,576.35,4,45000.0,1,19.49
1000.0,36,13.67,34.02,2,66000.0,1,10.82
28000.0,36,6.49,858.05,0,137000.0,1,8.73
9000.0,36,9.76,289.4,1,54000.0,0,22.98
10000.0,36,11.48,329.67,1,30048.0,1,17.85
22000.0,36,11.99,730.61,2,108500.0,1,25.98
10775.0,60,19.89,284.82,4,24500.0,0,24.89
10925.0,36,14.85,377.92,2,60000.0,1,17.44
20525.0,36,18.99,752.27,4,90000.0,0,27.99
5000.0,36,9.17,159.4,1,50000.0,1,15.15
8000.0,36,13.99,273.39,2,50000.0,1,19.85
5500.0,36,15.77,192.74,3,101000.0,1,25.55
10000.0,36,7.91,312.95,0,125000.0,1,17.89
7500.0,36,11.22,246.33,1,40000.0,1,20.25
12000.0,36,11.99,398.52,2,85280.0,1,9.15
10000.0,36,9.17,318.79,1,45000.0,1,3.84
20000.0,36,14.85,691.84,2,70000.0,1,7.51
30000.0,36,7.49,933.05,0,107111.0,1,13.09
11425.0,60,17.97,289.94,3,38500.0,0,15.8
6025.0,36,11.22,197.88,1,57900.0,1,13.18
26500.0,36,12.88,891.36,2,53000.0,1,22.19
16400.0,36,7.49,510.07,0,80000.0,1,11.84
15000.0,36,7.26,464.95,0,70000.0,1,10.78
22000.0,36,9.17,701.34,1,108000.0,1,12.89
9675.0,36,11.48,318.96,1,70000.0,1,30.71
12000.0,36,6.89,369.93,0,72000.0,1,27.9
16000.0,36,7.91,500.72,0,115000.0,1,13.73
6000.0,36,11.99,199.26,2,33680.0,1,15.87
15000.0,36,6.99,463.09,0,117000.0,1,4.66
11200.0,36,7.49,348.34,0,65000.0,1,17.67
11675.0,60,17.97,296.28,3,50000.0,1,33.29
6000.0,36,8.49,189.38,1,90000.0,1,11.2
17750.0,60,9.17,369.93,1,47000.0,1,28.12
16000.0,60,12.88,363.07,2,64000.0,1,5.76
4900.0,36,8.49,154.66,1,43000.0,1,5.92
10000.0,36,7.49,311.02,0,115000.0,1,21.04
30000.0,60,21.48,819.73,4,60000.0,1,5.32
9000.0,36,8.49,284.07,1,163000.0,1,11.7
15000.0,36,9.8,482.61,1,68000.0,1,31.61
9000.0,36,5.32,271.04,0,33000.0,0,22.64
2500.0,36,11.99,83.03,2,18000.0,1,28.73
12000.0,36,5.32,361.38,0,60000.0,1,25.68
22000.0,60,11.99,489.27,2,62000.0,1,14.73
15000.0,60,10.78,324.5,1,38000.0,1,19.93
16650.0,60,18.99,431.82,4,83000.0,1,29.41
18000.0,36,9.17,573.83,1,140000.0,1,10.05
16000.0,36,5.32,481.84,0,115000.0,1,12.26
16825.0,36,13.44,570.48,2,60000.0,1,28.41
4000.0,36,6.24,122.13,0,65000.0,1,19.26
6500.0,36,8.49,205.16,1,80000.0,1,7.86
3600.0,36,11.99,119.56,2,33196.8,1,19.58
24000.0,60,7.91,485.61,0,116250.0,1,19.88
12000.0,36,7.49,373.22,0,53000.0,1,21.17
10000.0,36,9.8,321.74,1,42000.0,0,27.43
8500.0,36,10.78,277.4,1,55040.0,1,9.18
6400.0,36,13.18,216.2,2,50000.0,1,30.48
6000.0,36,11.99,199.26,2,48000.0,1,18.95
20000.0,36,7.49,622.04,0,125000.0,1,16.42
24000.0,36,6.99,740.95,0,90000.0,1,24.48
30000.0,36,11.99,996.29,2,77000.0,1,23.74
12000.0,36,6.99,370.48,0,50148.0,1,16.08
21600.0,36,5.32,650.48,0,70000.0,1,21.38
3000.0,36,9.76,96.47,1,59000.0,1,16.76
12950.0,36,18.99,474.63,4,36000.0,1,27.93
30000.0,60,16.59,738.98,3,103000.0,1,7.96
10000.0,36,6.99,308.73,0,90000.0,1,12.32
35000.0,36,9.76,1125.42,1,88476.0,1,15.2
6000.0,36,9.8,193.05,1,60000.0,1,39.84
35000.0,36,13.67,1190.62,2,145000.0,1,21.25
35000.0,36,14.85,1210.72,2,150000.0,1,14.12
15000.0,60,17.57,377.41,3,37000.0,0,33.12
4000.0,36,11.48,131.87,1,51000.0,1,13.51
4200.0,36,13.18,141.88,2,80000.0,0,29.81
14000.0,60,13.67,323.37,2,29200.0,1,22.85
18000.0,36,7.49,559.83,0,80000.0,1,11.68
5000.0,36,13.18,168.91,2,35000.0,1,17.56
14400.0,60,19.48,377.36,4,73320.0,0,17.02
7200.0,36,6.49,220.65,0,60000.0,1,20.68
17800.0,36,15.77,623.78,3,71000.0,1,14.01
12225.0,36,15.77,428.41,3,55000.0,1,8.27
15000.0,36,11.22,492.65,1,75000.0,1,18.88
24000.0,36,5.32,722.76,0,158000.0,1,8.65
6525.0,36,17.97,235.8,3,65000.0,0,27.02
7200.0,36,9.17,229.53,1,32000.0,1,25.43
20000.0,60,12.88,453.84,2,97200.0,1,24.28
2000.0,36,15.41,69.74,3,40000.0,1,13.41
7200.0,36,11.99,239.11,2,25000.0,1,13.06
7200.0,36,7.49,223.94,0,79990.0,1,11.14
2500.0,36,9.8,80.44,1,75280.0,1,16.45
12000.0,36,11.99,398.52,2,40000.0,1,29.79
20000.0,60,9.17,416.82,1,65500.0,1,23.47
21900.0,36,14.85,757.57,2,100000.0,1,20.22
19200.0,36,14.48,660.7,2,115000.0,1,24.11
2000.0,36,13.44,67.82,2,14200.0,1,28.23
7500.0,36,10.64,244.27,1,60000.0,1,36.25
9500.0,36,6.89,292.86,0,56000.0,1,21.42
25000.0,36,5.32,752.87,0,99000.0,1,18.47
29750.0,36,15.77,1042.55,3,62000.0,0,21.54
35000.0,36,9.17,1115.77,1,144000.0,1,12.77
8400.0,36,12.88,282.55,2,39000.0,1,34.4
7100.0,36,18.49,258.44,3,58000.0,0,27.97
10000.0,36,7.49,311.02,0,44000.0,1,23.19
4900.0,36,6.49,150.16,0,48500.0,1,11.85
20000.0,36,10.64,651.37,1,43000.0,0,25.82
1925.0,36,9.76,61.9,1,80000.0,1,2.19
9000.0,36,10.78,293.72,1,36500.0,1,27.39
30000.0,36,6.89,924.81,0,125000.0,1,17.3
4775.0,36,16.55,169.18,3,52000.0,1,22.43
8200.0,36,5.32,246.95,0,49233.0,1,24.84
8000.0,36,6.49,245.16,0,135000.0,1,23.94
15000.0,36,6.49,459.67,0,74000.0,1,15.87
28000.0,60,9.8,592.17,1,118000.0,1,19.34
4325.0,36,20.99,162.93,4,74000.0,1,16.46
16000.0,60,13.99,372.21,2,40000.0,1,30.81
11000.0,36,12.88,370.0,2,35000.0,0,13.93
5000.0,36,8.38,157.56,1,45000.0,1,17.95
2500.0,36,13.99,85.44,2,130000.0,1,22.39
6025.0,36,17.27,215.62,3,54000.0,1,33.6
16000.0,36,9.76,514.48,1,95000.0,1,18.6
15600.0,36,8.49,492.39,1,38600.0,1,20.74
17975.0,36,10.78,586.61,1,40000.0,1,20.61
24000.0,36,11.99,797.03,2,68000.0,0,26.09
30000.0,36,12.88,1009.09,2,84000.0,0,24.39
12000.0,36,9.17,382.55,1,68000.0,1,21.78
33600.0,60,19.89,888.14,4,80000.0,0,30.66
20000.0,60,12.88,453.84,2,100000.0,1,8.41
26400.0,60,10.78,571.11,1,146000.0,1,9.45
16000.0,36,7.91,500.72,0,50000.0,1,24.41
19675.0,60,16.59,484.65,3,82000.0,1,17.77
3000.0,36,11.99,99.63,2,42000.0,1,9.97
5000.0,36,13.99,170.87,2,65000.0,0,20.83
10000.0,36,17.27,357.88,3,40000.0,1,29.91
4950.0,36,14.85,171.23,2,105800.0,1,33.29
4500.0,36,10.78,146.86,1,124000.0,1,13.47
10000.0,36,12.88,336.37,2,80000.0,1,14.8
6000.0,36,8.49,189.38,1,100000.0,1,29.96
14700.0,60,11.48,323.15,1,52000.0,1,28.32
15000.0,36,7.26,464.95,0,62000.0,1,17.58
17025.0,36,18.99,623.99,4,62000.0,0,32.11
24875.0,60,17.57,625.86,3,64000.0,1,31.16
12225.0,36,19.48,451.1,4,34000.0,0,31.31
9600.0,36,6.24,293.1,0,65000.0,1,23.19
15200.0,36,9.17,484.56,1,136000.0,1,9.35
24000.0,60,19.89,634.39,4,134000.0,1,10.85
6000.0,36,7.49,186.61,0,34000.0,1,1.34
12000.0,36,5.32,361.38,0,135000.0,1,13.35
16700.0,36,10.78,545.0,1,110000.0,1,19.25
6000.0,36,7.49,186.61,0,94500.0,1,20.77
18000.0,36,9.8,579.13,1,45000.0,1,21.39
19200.0,36,9.17,612.08,1,113000.0,1,21.59
35000.0,36,11.99,1162.34,2,130000.0,1,19.75
19200.0,60,13.67,443.48,2,49000.0,0,24.86
24000.0,60,7.91,485.61,0,123000.0,1,17.0
16000.0,36,9.17,510.07,1,81000.0,1,26.8
21000.0,60,13.67,485.05,2,120000.0,0,20.07
8000.0,36,9.17,255.04,1,66000.0,1,17.64
25000.0,36,17.57,898.43,3,90000.0,1,37.11
12000.0,36,11.48,395.6,1,47140.0,1,33.1
9800.0,36,8.38,308.82,1,50000.0,1,23.09
5000.0,36,10.78,163.18,1,42000.0,1,22.09
15375.0,60,18.49,394.54,3,89450.55,1,8.21
15000.0,60,18.49,384.92,3,64000.0,0,33.13
14400.0,36,9.17,459.06,1,82000.0,1,12.47
15000.0,60,16.55,369.17,3,54000.0,0,23.87
17100.0,36,19.89,634.54,4,57000.0,0,17.79
12000.0,36,11.48,395.6,1,45000.0,1,23.76
20000.0,60,13.18,456.91,2,115000.0,0,11.52
28000.0,36,5.32,843.22,0,105000.0,1,23.67
9000.0,36,10.78,293.72,1,26000.0,1,12.0
4000.0,36,12.88,134.55,2,56000.0,1,17.47
10000.0,36,9.17,318.79,1,65000.0,1,13.2
12000.0,36,11.99,398.52,2,35000.0,1,20.82
12000.0,36,15.41,418.4,3,80000.0,0,18.89
15000.0,60,13.18,342.68,2,60000.0,1,10.86
23800.0,60,9.17,496.02,1,80000.0,1,25.83
8975.0,36,13.67,305.31,2,52000.0,0,18.83
25000.0,60,17.97,634.43,3,69000.0,0,29.35
10000.0,36,8.38,315.12,1,43000.0,1,31.34
22000.0,36,10.78,717.97,1,58000.0,1,12.35
12000.0,60,9.17,250.1,1,50000.0,1,19.25
9800.0,36,9.17,312.42,1,52000.0,1,17.29
15000.0,36,10.64,488.53,1,40000.0,1,3.3
4000.0,36,9.17,127.52,1,49000.0,1,12.93
6000.0,36,7.91,187.77,0,65000.0,1,23.06
35000.0,60,13.44,804.27,2,105000.0,1,8.87
25000.0,36,17.27,894.69,3,120000.0,0,21.33
23200.0,60,13.67,535.87,2,58000.0,0,12.04
10000.0,36,12.88,336.37,2,25200.0,0,23.47
15000.0,60,12.88,340.38,2,82000.0,1,11.06
9000.0,36,15.41,313.8,3,150000.0,1,13.4
8175.0,36,16.99,291.43,3,22750.0,1,1.85
35000.0,60,17.86,886.11,3,130000.0,1,16.31
6400.0,36,13.18,216.2,2,34000.0,1,37.73
5000.0,36,9.17,159.4,1,52000.0,1,24.79
18000.0,36,6.49,551.61,0,103000.0,1,11.58
9000.0,36,12.59,301.48,2,28000.0,1,13.46
25000.0,36,7.49,777.55,0,92000.0,1,26.64
13625.0,36,13.18,460.27,2,31000.0,0,21.8
15525.0,60,16.99,385.76,3,37000.0,1,32.31
8000.0,36,16.59,283.6,3,27000.0,0,15.96
10000.0,36,11.48,329.67,1,150000.0,1,15.83
16800.0,60,14.85,398.35,2,38300.0,0,21.75
14000.0,36,11.48,461.54,1,99000.0,1,6.84
10000.0,60,16.59,246.33,3,30000.0,1,30.84
35000.0,60,13.44,804.27,2,86000.0,1,18.2
20000.0,36,12.59,669.94,2,60000.0,1,38.72
15000.0,36,9.17,478.19,1,56000.0,1,6.97
13800.0,36,11.99,458.3,2,50000.0,1,19.49
27000.0,60,18.49,692.84,3,55000.0,0,36.18
14400.0,36,19.48,531.35,4,40000.0,1,15.57
9600.0,36,10.78,313.3,1,96000.0,1,14.71
20000.0,60,17.27,499.96,3,60000.0,0,6.46
20000.0,36,9.76,643.1,1,85000.0,1,20.29
25000.0,36,7.89,782.15,0,100000.0,1,13.06
30000.0,60,9.17,625.23,1,120000.0,1,18.53
25000.0,60,9.17,521.03,1,140000.0,1,17.91
16000.0,36,11.99,531.36,2,80000.0,1,30.32
16800.0,36,10.64,547.16,1,40000.0,1,13.83
15000.0,36,5.32,451.73,0,82000.0,1,29.05
8500.0,36,12.59,284.73,2,51300.0,1,29.05
11350.0,36,5.32,341.81,0,70000.0,1,23.92
12000.0,36,7.26,371.96,0,35000.0,1,24.79
24000.0,60,18.2,612.06,4,50000.0,1,39.63
2000.0,36,13.44,67.82,2,47000.0,1,5.67
23000.0,60,8.38,470.56,1,71000.0,1,29.83
14000.0,60,9.17,291.78,1,88000.0,1,10.6
19775.0,36,12.59,662.4,2,95000.0,1,7.4
13400.0,60,16.55,329.8,3,44000.0,0,31.45
20000.0,36,13.99,683.46,2,53000.0,1,20.54
7000.0,36,11.22,229.91,1,80000.0,1,24.37
17000.0,36,10.78,554.79,1,48000.0,0,33.95
15000.0,36,5.32,451.73,0,44000.0,1,15.34
14400.0,36,10.64,468.99,1,70000.0,1,16.89
9000.0,36,10.64,293.12,1,91500.0,1,10.5
1000.0,36,11.48,32.97,1,41000.0,1,32.87
7000.0,36,12.88,235.46,2,65805.0,1,7.61
20000.0,36,11.22,656.86,1,92000.0,1,18.13
15975.0,36,13.44,541.66,2,45000.0,1,14.12
28000.0,36,7.49,870.85,0,124000.0,0,8.48
10000.0,60,18.99,259.36,4,37440.0,0,20.64
12000.0,60,11.99,266.88,2,70000.0,1,8.88
5500.0,36,13.67,187.1,2,75000.0,1,11.33
18525.0,36,17.97,669.45,3,70000.0,1,21.6
33600.0,60,14.48,790.2,2,135000.0,0,22.94
12000.0,60,12.88,272.31,2,75000.0,1,19.58
9225.0,36,20.99,347.51,4,120000.0,1,11.4
30000.0,36,18.49,1091.97,4,94000.0,1,22.66
35000.0,60,13.18,799.59,2,105000.0,0,24.68
16100.0,60,15.77,389.56,3,65000.0,1,21.94
23400.0,36,7.89,732.09,0,78500.0,1,19.26
21000.0,36,10.78,685.33,1,130000.0,1,13.72
18000.0,36,11.99,597.78,2,52800.0,1,31.82
21125.0,60,9.17,440.27,1,80000.0,1,29.87
10500.0,36,13.44,356.02,2,25000.0,1,27.84
3600.0,36,11.99,119.56,2,130000.0,1,26.46
16075.0,36,15.41,560.48,3,33500.0,0,3.38
4800.0,36,11.99,159.41,2,45000.0,1,10.29
12000.0,36,11.99,398.52,2,100000.0,1,10.7
20000.0,36,9.8,643.47,1,88894.8,1,5.54
35000.0,36,9.17,1115.77,1,105000.0,0,31.5
10000.0,36,12.59,334.97,2,30000.0,1,25.48
8000.0,36,11.99,265.68,2,35000.0,1,26.99
24000.0,36,5.32,722.76,0,96000.0,1,28.49
5600.0,36,12.88,188.37,2,38000.0,1,30.98
16050.0,36,8.49,506.59,1,43000.0,1,28.36
3000.0,36,12.88,100.91,2,27300.0,0,21.76
16000.0,36,6.24,488.5,0,112000.0,0,28.68
13000.0,36,10.78,424.26,1,45000.0,1,26.64
30000.0,60,18.2,765.08,4,108000.0,0,16.96
10000.0,36,13.99,341.73,2,107000.0,1,16.85
24000.0,36,7.91,751.08,0,95000.0,1,9.8
24000.0,36,7.89,750.86,0,66000.0,1,23.57
15025.0,60,18.49,385.56,4,54000.0,1,24.71
20350.0,60,17.27,508.71,3,70000.0,0,25.39
7200.0,36,12.88,242.19,2,50000.0,1,23.33
11000.0,60,9.17,229.26,1,50000.0,1,33.01
15000.0,36,6.99,463.09,0,60000.0,1,24.68
18000.0,36,11.48,593.4,1,134000.0,1,19.24
16725.0,60,21.48,457.0,4,58000.0,0,39.18
12000.0,36,12.88,403.64,2,52000.0,1,5.75
8000.0,36,11.99,265.68,2,68000.0,1,8.65
18000.0,36,16.55,637.73,3,61000.0,1,32.85
14700.0,36,12.59,492.41,2,45000.0,0,22.64
15000.0,60,17.97,380.66,3,45500.0,0,30.95
5000.0,36,9.17,159.4,1,100000.0,1,14.17
15000.0,36,11.22,492.65,1,110000.0,1,19.9
5000.0,36,13.18,168.91,2,28000.0,1,26.98
5600.0,36,11.99,185.98,2,160000.0,1,19.7
20000.0,60,17.27,499.96,3,65000.0,1,29.21
21675.0,60,11.48,476.48,1,80000.0,1,33.53
10000.0,36,8.38,315.12,1,46000.0,0,32.32
10000.0,36,13.44,339.07,2,110000.0,1,20.01
12000.0,36,6.89,369.93,0,87000.0,0,12.5
35000.0,36,17.57,1257.8,3,140000.0,1,13.34
12000.0,60,13.44,275.75,2,55000.0,0,15.75
13150.0,36,5.32,396.01,0,40000.0,1,20.25
16000.0,36,9.17,510.07,1,135000.0,1,28.08
16000.0,36,10.78,522.16,1,85000.0,0,12.97
20000.0,36,11.48,659.33,1,67400.0,1,16.45
9800.0,36,13.99,334.9,2,24504.0,1,13.03
7000.0,36,6.89,215.79,0,72000.0,1,17.3
5700.0,36,14.48,196.15,2,15000.0,1,28.32
25000.0,36,7.49,777.55,0,150000.0,1,16.93
